School Code,School Name,Latitude,Longitude,Centre Type,Independent Public School,Actual Floor Number,Actual Building Name,Actual Street Number,Actual Street Name,Actual Suburb/Town,Actual Postcode,OIC Title,Postal Address 1,Postal Address 2,Postal Address 3,Postal Address Post Code,Band,Phone Number,Restrict Contact to Outside Teaching Hours,Fax Number,Internet Site,Official Low Year Level,Official High Year Level,DoE Geographic Region,Federal Electorate,State Electorate,Local Government Area,Host Centre Name,Host Centre Code,Host Centre Type,
1,Lighthouse Christian School,-23.3387,150.537562,Non-State School,N,,,480,Norman Road,North Rockhampton,4701,Principal,PO Box 9829,Frenchville,,4701,,(07) 4926 4895,,(07) 4926 2181,www.lighthousechristianschool.org.au,Prep Year,Year 12,Central Queensland,Capricornia,Keppel,Rockhampton (R),1,Lighthouse Christian School,Non-State School,
3,Allora P-10 State School,-28.036194,151.986183,State School,N,,,21,Warwick Street,Allora,4362,Principal,PO Box 6,Allora,,4362,8,(07) 4666 7222,N,(07) 4666 7299,www.allorass.eq.edu.au,Prep Year,Year 10,Darling Downs South West,Maranoa,Southern Downs,Southern Downs (R),3,Allora P-10 State School,State School,
4,Bald Hills State School,-27.320095,153.006826,State School,N,,,2156,Gympie Road,Bald Hills,4036,Principal,PO Box 40,Bald Hills,,4036,9,(07) 3261 1554,N,(07) 3261 1715,www.baldhillss.eq.edu.au,Prep Year,Year 6,Metropolitan,Petrie,Aspley,Brisbane (C),4,Bald Hills State School,State School,
5,Fraser Coast Anglican College,-25.317102,152.852598,Non-State School,N,,,,Doolong South Road,Wondunna,4655,Principal,PO Box 1150,Hervey Bay,,4655,,(07) 4124 5411,N,(07) 4124 5833,www.fcac.qld.edu.au,Prep Year,Year 12,North Coast,Hinkler,Hervey Bay,Fraser Coast (R),5,Fraser Coast Anglican College,Non-State School,
6,Beenleigh State School,-27.717928,153.199788,State School,N,,,22,James Street,Beenleigh,4207,Principal,PO Box 246,Beenleigh,,4207,8,(07) 3386 2333,N,(07) 3807 3458,www.beenleighss.eq.edu.au,Prep Year,Year 6,South East,Forde,Macalister,Logan (C),6,Beenleigh State School,State School,
8,Yeronga State School,-27.518947,153.019707,State School,N,,,122,Park Road,Yeronga,4104,Principal,122 Park Road,Yeronga,,4104,9,(07) 3426 0333,N,,www.yerongass.eq.edu.au,Early Childhood,Year 6,Metropolitan,Moreton,Miller,Brisbane (C),8,Yeronga State School,State School,
9,Tamborine Mountain College,-27.92728,153.17631,Non-State School,N,,,80,Beacon Road,North Tamborine,4272,Principal,80 Beacon Road,North Tamborine,,4272,,(07) 5545 3644,N,(07) 5545 3644,www.tmc.qld.edu.au,Prep Year,Year 12,South East,Wright,Scenic Rim,Scenic Rim (R),9,Tamborine Mountain College,Non-State School,
10,Bowen State School,-20.010151,148.243824,State School,N,,,29,Kennedy Street,Bowen,4805,Principal,PO Box 1157,Bowen,,4805,8,(07) 4786 9555,N,(07) 4786 9500,www.bowenss.eq.edu.au,Early Childhood,Year 6,North Queensland,Dawson,Burdekin,Whitsunday (R),10,Bowen State School,State School,
11,Windsor State School,-27.430523,153.029634,State School,Y,,,,Harris Street,Windsor,4030,Principal,Harris Street,Windsor,,4030,9,(07) 3866 4333,N,(07) 3866 4300,www.windsorss.eq.edu.au,Prep Year,Year 6,Metropolitan,Brisbane,Clayfield,Brisbane (C),11,Windsor State School,State School,
13,Toowong State School,-27.481812,152.98928,State School,N,,,37,St Osyth Street,Toowong,4066,Principal,37 St Osyth Street,Toowong,,4066,7,(07) 3859 6111,N,(07) 3371 7357,www.toowongss.eq.edu.au,Prep Year,Year 6,Metropolitan,Ryan,Maiwar,Brisbane (C),13,Toowong State School,State School,
14,Southern Cross Catholic College (Scarborough),-27.204031,153.109956,Non-State School,N,,,307,Scarborough Road,Scarborough,4020,Principal,PO Box 121,Scarborough,,4020,,(07) 3480 3600,,(07) 3480 3666,www.sccc.qld.edu.au,Prep Year,Year 12,North Coast,Petrie,Redcliffe,Moreton Bay (R),14,Southern Cross Catholic College (Scarborough),Non-State School,
16,Brookfield State School,-27.495113,152.913587,State School,Y,,,36,Boscombe Road,Brookfield,4069,Principal,36 Boscombe Road,Brookfield,,4069,8,(07) 3374 7333,N,(07) 3374 7300,www.brookfieldss.eq.edu.au,Prep Year,Year 6,Metropolitan,Ryan,Moggill,Brisbane (C),16,Brookfield State School,State School,
17,Bulimba State School,-27.453162,153.06505,State School,Y,,,,Oxford Street,Bulimba,4171,Principal,Oxford Street,Bulimba,,4171,10,(07) 3395 9666,N,(07) 3395 9600,www.bulimbass.eq.edu.au,Prep Year,Year 6,Metropolitan,Griffith,Bulimba,Brisbane (C),17,Bulimba State School,State School,
18,Bundaberg Central State School,-24.869865,152.348234,State School,N,,,13,Crofton Street,Bundaberg Central,4670,Principal,13 Crofton Street,Bundaberg,,4670,6,(07) 4150 7666,N,(07) 4150 7600,www.bundcentss.eq.edu.au,Prep Year,Year 6,North Coast,Hinkler,Bundaberg,Bundaberg (R),18,Bundaberg Central State School,State School,
19,Bundamba State School,-27.611295,152.804464,State School,N,,,221,Brisbane Road,Bundamba,4304,Principal,221 Brisbane Road,Bundamba,,4304,9,(07) 3816 6666,N,(07) 3816 6600,www.bundambass.eq.edu.au,Early Childhood,Year 6,Metropolitan,Blair,Ipswich,Ipswich (C),19,Bundamba State School,State School,
20,Calliope State School,-24.004837,151.202922,State School,N,,,,Stirrat Street,Calliope,4680,Principal,PO Box 232,Calliope,,4680,9,(07) 4975 8333,N,(07) 4975 6437,www.calliopess.eq.edu.au,Prep Year,Year 6,Central Queensland,Flynn,Callide,Gladstone (R),20,Calliope State School,State School,
21,Clermont State School,-22.83656,147.632195,State School,N,,,,Hetherington Street,Clermont,4721,Principal,PO Box 517,Clermont,,4721,7,(07) 4983 4222,N,(07) 4983 4200,www.clermontss.eq.edu.au,Prep Year,Year 6,Central Queensland,Capricornia,Burdekin,Isaac (R),21,Clermont State School,State School,
22,Cleveland State School,-27.528303,153.270274,State School,Y,,,,Queen Street,Cleveland,4163,Principal,PO Box 194,Cleveland,,4163,9,(07) 3488 1333,N,(07) 3488 1300,www.clevelandss.eq.edu.au,Prep Year,Year 6,South East,Bowman,Oodgeroo,Redland (C),22,Cleveland State School,State School,
23,Ormiston State School,-27.516473,153.258508,State School,Y,,,82-110,Gordon Street,Ormiston,4160,Principal,82-110 Gordon Street,Ormiston,,4160,9,(07) 3824 9111,N,(07) 3824 9100,www.ormistonss.eq.edu.au,Prep Year,Year 6,South East,Bowman,Oodgeroo,Redland (C),23,Ormiston State School,State School,
24,Condamine State School,-26.925026,150.134634,State School,N,,,,Kennedy Street,Condamine,4416,Principal,Kennedy Street,Condamine,,4416,5,(07) 4627 7147,N,(07) 4627 7113,www.condaminss.eq.edu.au,Prep Year,Year 6,Darling Downs South West,Maranoa,Warrego,Western Downs (R),24,Condamine State School,State School,
25,Acacia Ridge State School,-27.579554,153.016074,State School,N,,,,Nyngam Street,Acacia Ridge,4110,Principal,Nyngam Street,Acacia Ridge,,4110,8,(07) 3717 4111,N,(07) 3717 4100,www.acaciaridgess.eq.edu.au,Early Childhood,Year 6,Metropolitan,Moreton,Algester,Brisbane (C),25,Acacia Ridge State School,State School,
